1.16,7613.32,0.0872674,499230,0.00127914
1.17,7613.32,0.0872675,499224,0.00129017
1.18,7613.33,0.0872675,499217,0.0013012
1.19,7613.33,0.0872675,499210,0.00131223
1.2,7613.34,0.0872675,499204,0.00132326
1.21,7613.34,0.0872675,499197,0.00133429
1.22,7613.35,0.0872675,499191,0.00134531
1.23,7613.36,0.0872675,499184,0.00135634
1.24,7613.36,0.0872675,499177,0.00136737
1.25,7613.37,0.0872675,499171,0.0013784
1.26,7613.37,0.0872675,499164,0.00138943
1.27,7613.38,0.0872675,499157,0.00140046
1.28,7613.38,0.0872676,499151,0.00141148
1.29,7613.39,0.0872676,499144,0.00142251
1.3,7613.39,0.0872676,499137,0.00143354
1.31,7613.4,0.0872676,499131,0.00144457
1.32,7613.41,0.0872676,499124,0.0014556
1.33,7613.41,0.0872676,499118,0.00146663
1.34,7613.42,0.0872676,499111,0.00147766
1.35,7613.42,0.0872676,499104,0.00148868
1.36,7613.43,0.0872676,499098,0.00149971
1.37,7613.43,0.0872676,499091,0.00151074
1.38,7613.44,0.0872676,499084,0.00152177
1.39,7613.44,0.0872676,499078,0.0015328
1.4,7613.45,0.0872677,499071,0.00154383
1.41,7613.45,0.0872677,499064,0.00155486
1.42,7613.46,0.0872677,499058,0.00156588
1.43,7613.47,0.0872677,499051,0.00157691
1.44,7613.47,0.0872677,499045,0.00158794
1.45,7613.48,0.0872677,499038,0.00159897
1.46,7613.48,0.0872677,499031,0.00161
1.47,7613.49,0.0872677,499025,0.00162103
1.48,7613.49,0.0872677,499018,0.00163206
1.49,7613.5,0.0872677,499011,0.00164309
1.5,7613.5,0.0872677,499005,0.00165411
1.51,7613.51,0.0872678,498998,0.00166514
1.52,7613.51,0.0872678,498991,0.00167617
1.53,7613.52,0.0872678,498985,0.0016872
1.54,7613.53,0.0872678,498978,0.00169823
1.55,7613.53,0.0872678,498972,0.00170926
1.56,7613.54,0.0872678,498965,0.00172029
1.57,7613.54,0.0872678,498958,0.00173132
1.58,7613.55,0.0872678,498952,0.00174235
1.59,7613.55,0.0872678,498945,0.00175337
1.6,7613.56,0.0872678,498938,0.0017644
1.61,7613.56,0.0872678,498932,0.00177543
1.62,7613.57,0.0872678,498925,0.00178646
1.63,7613.57,0.0872679,498918,0.00179749
1.64,7613.58,0.0872679,498912,0.00180852
